timestamp,dataset,model,model_type,run_type,metric,transform,transform_param,score
20241028_175406,imagenet,pit,transformer,PT,test_accuracy_macro,patch_rotation,1,0.4570349454879761
20241028_122419,deepglobe,cait,transformer,NT,test_mAP_macro,gaussian,2.0,0.6893773078918457
20241028_153830,caltech_120,resnet,cnn,NT,test_accuracy_macro,gaussian,5.0,0.3223884105682373
20241028_115514,rgb_bigearthnet,densenet,cnn,NT,test_mAP_macro,greyscale,0,0.6212745904922485
20241028_102253,deepglobe,resnet,cnn,NT,test_mAP_macro,median,9,0.2290624976158142
20241028_150239,rgb_bigearthnet,pit,transformer,NT,test_mAP_macro,greyscale,0,0.5878350138664246
20241028_174752,imagenet,pit,transformer,PT,test_accuracy_macro,gaussian,3.0,0.41372936964035034
20241028_104406,deepglobe,convnext,cnn,NT,test_mAP_macro,gaussian,2.0,0.5638164281845093
20241028_111112,imagenet,efficientnet,cnn,PT,test_accuracy_macro,channel_inversion,12,0.7626966238021851
20241028_145914,rgb_bigearthnet,pit,transformer,NT,test_mAP_macro,channel_shuffle,2,0.3618708848953247
20241028_161352,imagenet,deit,transformer,PT,test_accuracy_macro,channel_inversion,0,0.6318252682685852
20241028_142011,caltech,inception,cnn,NT,test_accuracy_macro,channel_shuffle,12,0.4062126874923706
20241028_175716,imagenet,pit,transformer,PT,test_accuracy_macro,channel_shuffle,0,0.6741121411323547
20241028_142028,bigearthnet,cait,transformer,NT,test_mAP_macro,gaussian,15.0,0.5828074216842651
20241028_105609,deepglobe,regnet,cnn,NT,test_mAP_macro,patch_shuffle,15,0.5343860983848572
20241028_184254,imagenet,convmixer,transformer,PT,test_accuracy_macro,gaussian,2.0,0.6821210384368896
20241028_171850,caltech_120,convmixer,transformer,NT,test_accuracy_macro,gaussian,3.0,0.3643950819969177
20241028_102503,deepglobe,resnet,cnn,NT,test_mAP_macro,sobel,3,0.26560094952583313
20241028_135605,bigearthnet,deit,transformer,NT,test_mAP_macro,patch_shuffle,6,0.6388160586357117
20241028_124435,bigearthnet,xception,cnn,NT,test_mAP_macro,patch_shuffle,11,0.5568296313285828
20241028_131830,imagenet,resnext,cnn,PT,test_accuracy_macro,channel_shuffle,3,0.7094563841819763
20241008_201318,deepglobe,vit,transformer,ST,test_mAP_macro,,,0.7262725234031677
20241028_150448,caltech,pit,transformer,NT,test_accuracy_macro,gaussian,0.5,0.5870123505592346
20241028_151850,caltech,convmixer,transformer,NT,test_accuracy_macro,bilateral,5,0.6251368522644043
20241028_163103,imagenet,swin,transformer,PT,test_accuracy_macro,patch_shuffle,1,0.8508086204528809
20241028_134353,caltech,regnet,cnn,NT,test_accuracy_macro,patch_rotation,15,0.4481881558895111
20241028_134710,caltech,densenet,cnn,NT,test_accuracy_macro,median,0,0.7581800222396851
20241028_152326,bigearthnet,beit,transformer,NT,test_mAP_macro,patch_rotation,15,0.6554301977157593
20241028_132959,rgb_bigearthnet,vit,transformer,NT,test_mAP_macro,median,31,0.37650465965270996
20241028_152907,bigearthnet,convmixer,transformer,NT,test_mAP_macro,bilateral,3,0.6862409114837646
