timestamp,dataset,model,model_type,run_type,metric,transform,transform_param,score
20241028_114851,imagenet,regnet,cnn,PT,test_accuracy_macro,bilateral,3,0.8064924478530884
20241028_102915,rgb_bigearthnet,resnet,cnn,NT,test_mAP_macro,patch_shuffle,15,0.4410511553287506
20241004_162249,caltech,swin,transformer,ST,test_accuracy_macro,,,0.6027410626411438
20241028_103755,deepglobe,efficientnet,cnn,NT,test_mAP_macro,patch_rotation,15,0.5039573907852173
20241028_132014,imagenet,resnext,cnn,PT,test_accuracy_macro,channel_inversion,0,0.8906811475753784
20241028_155739,caltech_120,regnet,cnn,NT,test_accuracy_macro,gaussian,9.0,0.354557603597641
20241009_013853,deepglobe,mvit,transformer,ST,test_mAP_macro,,,0.7286238670349121
20241028_114938,bigearthnet,densenet,cnn,NT,test_mAP_macro,patch_rotation,1,0.6602852940559387
20241028_114633,deepglobe,inception,cnn,NT,test_mAP_macro,sobel,0,0.6915020942687988
20241028_135321,caltech,densenet,cnn,NT,test_accuracy_macro,greyscale,0,0.7581800222396851
20241028_135558,caltech,resnext,cnn,NT,test_accuracy_macro,gaussian,1.0,0.5805957317352295
20241004_145220,caltech,efficientnet,cnn,ST,test_accuracy_macro,,,0.47390857338905334
